year,state,county,FIPS,candidate,party,candidatevotes,totalvotes,version
2000,Tennessee,Anderson,47001,Al Gore,democrat,13556,28779,20191203
2000,Tennessee,Anderson,47001,George W. Bush,republican,14688,28779,20191203
2000,Tennessee,Anderson,47001,Ralph Nader,green,316,28779,20191203
2000,Tennessee,Anderson,47001,Other,NA,219,28779,20191203
2000,Tennessee,Bedford,47003,Al Gore,democrat,6136,12207,20191203
2000,Tennessee,Bedford,47003,George W. Bush,republican,5911,12207,20191203
2000,Tennessee,Bedford,47003,Ralph Nader,green,80,12207,20191203
2000,Tennessee,Bedford,47003,Other,NA,80,12207,20191203
2000,Tennessee,Benton,47005,Al Gore,democrat,3700,6311,20191203
2000,Tennessee,Benton,47005,George W. Bush,republican,2484,6311,20191203
2000,Tennessee,Benton,47005,Ralph Nader,green,62,6311,20191203
2000,Tennessee,Benton,47005,Other,NA,65,6311,20191203
2000,Tennessee,Bledsoe,47007,Al Gore,democrat,1756,4196,20191203
2000,Tennessee,Bledsoe,47007,George W. Bush,republican,2380,4196,20191203
2000,Tennessee,Bledsoe,47007,Ralph Nader,green,35,4196,20191203
2000,Tennessee,Bledsoe,47007,Other,NA,25,4196,20191203
2000,Tennessee,Blount,47009,Al Gore,democrat,14688,40662,20191203
2000,Tennessee,Blount,47009,George W. Bush,republican,25273,40662,20191203
2000,Tennessee,Blount,47009,Ralph Nader,green,379,40662,20191203
2000,Tennessee,Blount,47009,Other,NA,322,40662,20191203
2000,Tennessee,Bradley,47011,Al Gore,democrat,8768,29443,20191203
2000,Tennessee,Bradley,47011,George W. Bush,republican,20167,29443,20191203
2000,Tennessee,Bradley,47011,Ralph Nader,green,271,29443,20191203
2000,Tennessee,Bradley,47011,Other,NA,237,29443,20191203
2000,Tennessee,Campbell,47013,Al Gore,democrat,6492,12421,20191203
2000,Tennessee,Campbell,47013,George W. Bush,republican,5784,12421,20191203
2000,Tennessee,Campbell,47013,Ralph Nader,green,74,12421,20191203
2000,Tennessee,Campbell,47013,Other,NA,71,12421,20191203
2000,Tennessee,Cannon,47015,Al Gore,democrat,2697,4697,20191203
2000,Tennessee,Cannon,47015,George W. Bush,republican,1924,4697,20191203
2000,Tennessee,Cannon,47015,Ralph Nader,green,45,4697,20191203
2000,Tennessee,Cannon,47015,Other,NA,31,4697,20191203
2000,Tennessee,Carroll,47017,Al Gore,democrat,5239,10827,20191203
2000,Tennessee,Carroll,47017,George W. Bush,republican,5465,10827,20191203
2000,Tennessee,Carroll,47017,Ralph Nader,green,65,10827,20191203
2000,Tennessee,Carroll,47017,Other,NA,58,10827,20191203
2000,Tennessee,Carter,47019,Al Gore,democrat,6724,19102,20191203
2000,Tennessee,Carter,47019,George W. Bush,republican,12111,19102,20191203
2000,Tennessee,Carter,47019,Ralph Nader,green,157,19102,20191203
2000,Tennessee,Carter,47019,Other,NA,110,19102,20191203
2000,Tennessee,Cheatham,47021,Al Gore,democrat,6062,12616,20191203
2000,Tennessee,Cheatham,47021,George W. Bush,republican,6356,12616,20191203
2000,Tennessee,Cheatham,47021,Ralph Nader,green,139,12616,20191203
2000,Tennessee,Cheatham,47021,Other,NA,59,12616,20191203
2000,Tennessee,Chester,47023,Al Gore,democrat,2192,5728,20191203
2000,Tennessee,Chester,47023,George W. Bush,republican,3487,5728,20191203
2000,Tennessee,Chester,47023,Ralph Nader,green,25,5728,20191203
2000,Tennessee,Chester,47023,Other,NA,24,5728,20191203
2000,Tennessee,Claiborne,47025,Al Gore,democrat,3841,9000,20191203
2000,Tennessee,Claiborne,47025,George W. Bush,republican,5023,9000,20191203
2000,Tennessee,Claiborne,47025,Ralph Nader,green,60,9000,20191203
2000,Tennessee,Claiborne,47025,Other,NA,76,9000,20191203
2000,Tennessee,Clay,47027,Al Gore,democrat,1931,3442,20191203
2000,Tennessee,Clay,47027,George W. Bush,republican,1468,3442,20191203
2000,Tennessee,Clay,47027,Ralph Nader,green,19,3442,20191203
2000,Tennessee,Clay,47027,Other,NA,24,3442,20191203
2000,Tennessee,Cocke,47029,Al Gore,democrat,3872,10239,20191203
2000,Tennessee,Cocke,47029,George W. Bush,republican,6185,10239,20191203
2000,Tennessee,Cocke,47029,Ralph Nader,green,93,10239,20191203
2000,Tennessee,Cocke,47029,Other,NA,89,10239,20191203
2000,Tennessee,Coffee,47031,Al Gore,democrat,8741,17788,20191203
2000,Tennessee,Coffee,47031,George W. Bush,republican,8788,17788,20191203
2000,Tennessee,Coffee,47031,Ralph Nader,green,151,17788,20191203
2000,Tennessee,Coffee,47031,Other,NA,108,17788,20191203
2000,Tennessee,Crockett,47033,Al Gore,democrat,2705,5440,20191203
2000,Tennessee,Crockett,47033,George W. Bush,republican,2676,5440,20191203
2000,Tennessee,Crockett,47033,Ralph Nader,green,42,5440,20191203
2000,Tennessee,Crockett,47033,Other,NA,17,5440,20191203
2000,Tennessee,Cumberland,47035,Al Gore,democrat,7644,19017,20191203
2000,Tennessee,Cumberland,47035,George W. Bush,republican,10994,19017,20191203
2000,Tennessee,Cumberland,47035,Ralph Nader,green,223,19017,20191203
2000,Tennessee,Cumberland,47035,Other,NA,156,19017,20191203
2000,Tennessee,Davidson,47037,Al Gore,democrat,120508,208588,20191203
2000,Tennessee,Davidson,47037,George W. Bush,republican,84117,208588,20191203
2000,Tennessee,Davidson,47037,Ralph Nader,green,2920,208588,20191203
2000,Tennessee,Davidson,47037,Other,NA,1043,208588,20191203
2000,Tennessee,Decatur,47039,Al Gore,democrat,2278,4370,20191203
2000,Tennessee,Decatur,47039,George W. Bush,republican,2046,4370,20191203
2000,Tennessee,Decatur,47039,Ralph Nader,green,22,4370,20191203
2000,Tennessee,Decatur,47039,Other,NA,24,4370,20191203
2000,Tennessee,DeKalb,47041,Al Gore,democrat,3765,6265,20191203
2000,Tennessee,DeKalb,47041,George W. Bush,republican,2411,6265,20191203
2000,Tennessee,DeKalb,47041,Ralph Nader,green,63,6265,20191203
2000,Tennessee,DeKalb,47041,Other,NA,26,6265,20191203
2000,Tennessee,Dickson,47043,Al Gore,democrat,8332,15556,20191203
2000,Tennessee,Dickson,47043,George W. Bush,republican,7016,15556,20191203
2000,Tennessee,Dickson,47043,Ralph Nader,green,120,15556,20191203
2000,Tennessee,Dickson,47043,Other,NA,88,15556,20191203
2000,Tennessee,Dyer,47045,Al Gore,democrat,5425,11841,20191203
2000,Tennessee,Dyer,47045,George W. Bush,republican,6282,11841,20191203
2000,Tennessee,Dyer,47045,Ralph Nader,green,88,11841,20191203
2000,Tennessee,Dyer,47045,Other,NA,46,11841,20191203
2000,Tennessee,Fayette,47047,Al Gore,democrat,5037,11529,20191203
2000,Tennessee,Fayette,47047,George W. Bush,republican,6402,11529,20191203
2000,Tennessee,Fayette,47047,Ralph Nader,green,44,11529,20191203
2000,Tennessee,Fayette,47047,Other,NA,46,11529,20191203
2000,Tennessee,Fentress,47049,Al Gore,democrat,2529,6029,20191203
2000,Tennessee,Fentress,47049,George W. Bush,republican,3417,6029,20191203
2000,Tennessee,Fentress,47049,Ralph Nader,green,28,6029,20191203
2000,Tennessee,Fentress,47049,Other,NA,55,6029,20191203
2000,Tennessee,Franklin,47051,Al Gore,democrat,7828,14691,20191203
2000,Tennessee,Franklin,47051,George W. Bush,republican,6560,14691,20191203
2000,Tennessee,Franklin,47051,Ralph Nader,green,190,14691,20191203
2000,Tennessee,Franklin,47051,Other,NA,113,14691,20191203
2000,Tennessee,Gibson,47053,Al Gore,democrat,8663,17137,20191203
2000,Tennessee,Gibson,47053,George W. Bush,republican,8286,17137,20191203
2000,Tennessee,Gibson,47053,Ralph Nader,green,101,17137,20191203
2000,Tennessee,Gibson,47053,Other,NA,87,17137,20191203
2000,Tennessee,Giles,47055,Al Gore,democrat,5527,10066,20191203
2000,Tennessee,Giles,47055,George W. Bush,republican,4377,10066,20191203
2000,Tennessee,Giles,47055,Ralph Nader,green,79,10066,20191203
2000,Tennessee,Giles,47055,Other,NA,83,10066,20191203
2000,Tennessee,Grainger,47057,Al Gore,democrat,2361,6194,20191203
2000,Tennessee,Grainger,47057,George W. Bush,republican,3746,6194,20191203
2000,Tennessee,Grainger,47057,Ralph Nader,green,46,6194,20191203
2000,Tennessee,Grainger,47057,Other,NA,41,6194,20191203
2000,Tennessee,Greene,47059,Al Gore,democrat,7909,20816,20191203
2000,Tennessee,Greene,47059,George W. Bush,republican,12540,20816,20191203
2000,Tennessee,Greene,47059,Ralph Nader,green,185,20816,20191203
2000,Tennessee,Greene,47059,Other,NA,182,20816,20191203
2000,Tennessee,Grundy,47061,Al Gore,democrat,2970,4596,20191203
2000,Tennessee,Grundy,47061,George W. Bush,republican,1553,4596,20191203
2000,Tennessee,Grundy,47061,Ralph Nader,green,37,4596,20191203
2000,Tennessee,Grundy,47061,Other,NA,36,4596,20191203
2000,Tennessee,Hamblen,47063,Al Gore,democrat,7564,19699,20191203
2000,Tennessee,Hamblen,47063,George W. Bush,republican,11824,19699,20191203
2000,Tennessee,Hamblen,47063,Ralph Nader,green,181,19699,20191203
2000,Tennessee,Hamblen,47063,Other,NA,130,19699,20191203
2000,Tennessee,Hamilton,47065,Al Gore,democrat,51708,120379,20191203
2000,Tennessee,Hamilton,47065,George W. Bush,republican,66605,120379,20191203
2000,Tennessee,Hamilton,47065,Ralph Nader,green,1290,120379,20191203
2000,Tennessee,Hamilton,47065,Other,NA,776,120379,20191203
2000,Tennessee,Hancock,47067,Al Gore,democrat,690,2075,20191203
2000,Tennessee,Hancock,47067,George W. Bush,republican,1343,2075,20191203
2000,Tennessee,Hancock,47067,Ralph Nader,green,17,2075,20191203
2000,Tennessee,Hancock,47067,Other,NA,25,2075,20191203
2000,Tennessee,Hardeman,47069,Al Gore,democrat,4953,8803,20191203
2000,Tennessee,Hardeman,47069,George W. Bush,republican,3729,8803,20191203
2000,Tennessee,Hardeman,47069,Ralph Nader,green,38,8803,20191203
2000,Tennessee,Hardeman,47069,Other,NA,83,8803,20191203
2000,Tennessee,Hardin,47071,Al Gore,democrat,3735,8782,20191203
2000,Tennessee,Hardin,47071,George W. Bush,republican,4951,8782,20191203
2000,Tennessee,Hardin,47071,Ralph Nader,green,49,8782,20191203
2000,Tennessee,Hardin,47071,Other,NA,47,8782,20191203
2000,Tennessee,Hawkins,47073,Al Gore,democrat,6753,17098,20191203
2000,Tennessee,Hawkins,47073,George W. Bush,republican,10071,17098,20191203
2000,Tennessee,Hawkins,47073,Ralph Nader,green,147,17098,20191203
2000,Tennessee,Hawkins,47073,Other,NA,127,17098,20191203
2000,Tennessee,Haywood,47075,Al Gore,democrat,3887,6478,20191203
2000,Tennessee,Haywood,47075,George W. Bush,republican,2554,6478,20191203
2000,Tennessee,Haywood,47075,Ralph Nader,green,20,6478,20191203
2000,Tennessee,Haywood,47075,Other,NA,17,6478,20191203
2000,Tennessee,Henderson,47077,Al Gore,democrat,3166,8399,20191203
2000,Tennessee,Henderson,47077,George W. Bush,republican,5153,8399,20191203
2000,Tennessee,Henderson,47077,Ralph Nader,green,46,8399,20191203
2000,Tennessee,Henderson,47077,Other,NA,34,8399,20191203
2000,Tennessee,Henry,47079,Al Gore,democrat,6093,12309,20191203
2000,Tennessee,Henry,47079,George W. Bush,republican,5944,12309,20191203
2000,Tennessee,Henry,47079,Ralph Nader,green,125,12309,20191203
2000,Tennessee,Henry,47079,Other,NA,147,12309,20191203
2000,Tennessee,Hickman,47081,Al Gore,democrat,4239,7264,20191203
2000,Tennessee,Hickman,47081,George W. Bush,republican,2914,7264,20191203
2000,Tennessee,Hickman,47081,Ralph Nader,green,58,7264,20191203
2000,Tennessee,Hickman,47081,Other,NA,53,7264,20191203
2000,Tennessee,Houston,47083,Al Gore,democrat,2081,3127,20191203
2000,Tennessee,Houston,47083,George W. Bush,republican,993,3127,20191203
2000,Tennessee,Houston,47083,Ralph Nader,green,16,3127,20191203
2000,Tennessee,Houston,47083,Other,NA,37,3127,20191203
2000,Tennessee,Humphreys,47085,Al Gore,democrat,4205,6681,20191203
2000,Tennessee,Humphreys,47085,George W. Bush,republican,2387,6681,20191203
2000,Tennessee,Humphreys,47085,Ralph Nader,green,65,6681,20191203
2000,Tennessee,Humphreys,47085,Other,NA,24,6681,20191203
2000,Tennessee,Jackson,47087,Al Gore,democrat,3304,4754,20191203
2000,Tennessee,Jackson,47087,George W. Bush,republican,1384,4754,20191203
2000,Tennessee,Jackson,47087,Ralph Nader,green,36,4754,20191203
2000,Tennessee,Jackson,47087,Other,NA,30,4754,20191203
2000,Tennessee,Jefferson,47089,Al Gore,democrat,5226,14087,20191203
2000,Tennessee,Jefferson,47089,George W. Bush,republican,8657,14087,20191203
2000,Tennessee,Jefferson,47089,Ralph Nader,green,121,14087,20191203
2000,Tennessee,Jefferson,47089,Other,NA,83,14087,20191203
2000,Tennessee,Johnson,47091,Al Gore,democrat,1813,5657,20191203
2000,Tennessee,Johnson,47091,George W. Bush,republican,3740,5657,20191203
2000,Tennessee,Johnson,47091,Ralph Nader,green,54,5657,20191203
2000,Tennessee,Johnson,47091,Other,NA,50,5657,20191203
2000,Tennessee,Knox,47093,Al Gore,democrat,60969,150586,20191203
2000,Tennessee,Knox,47093,George W. Bush,republican,86851,150586,20191203
2000,Tennessee,Knox,47093,Ralph Nader,green,1772,150586,20191203
2000,Tennessee,Knox,47093,Other,NA,994,150586,20191203
2000,Tennessee,Lake,47095,Al Gore,democrat,1419,2224,20191203
2000,Tennessee,Lake,47095,George W. Bush,republican,781,2224,20191203
2000,Tennessee,Lake,47095,Ralph Nader,green,11,2224,20191203
2000,Tennessee,Lake,47095,Other,NA,13,2224,20191203
2000,Tennessee,Lauderdale,47097,Al Gore,democrat,4224,7618,20191203
2000,Tennessee,Lauderdale,47097,George W. Bush,republican,3329,7618,20191203
2000,Tennessee,Lauderdale,47097,Ralph Nader,green,27,7618,20191203
2000,Tennessee,Lauderdale,47097,Other,NA,38,7618,20191203
2000,Tennessee,Lawrence,47099,Al Gore,democrat,6643,14470,20191203
2000,Tennessee,Lawrence,47099,George W. Bush,republican,7613,14470,20191203
2000,Tennessee,Lawrence,47099,Ralph Nader,green,98,14470,20191203
2000,Tennessee,Lawrence,47099,Other,NA,116,14470,20191203
2000,Tennessee,Lewis,47101,Al Gore,democrat,2281,4420,20191203
2000,Tennessee,Lewis,47101,George W. Bush,republican,2037,4420,20191203
2000,Tennessee,Lewis,47101,Ralph Nader,green,63,4420,20191203
2000,Tennessee,Lewis,47101,Other,NA,39,4420,20191203
2000,Tennessee,Lincoln,47103,Al Gore,democrat,5060,10659,20191203
2000,Tennessee,Lincoln,47103,George W. Bush,republican,5435,10659,20191203
2000,Tennessee,Lincoln,47103,Ralph Nader,green,72,10659,20191203
2000,Tennessee,Lincoln,47103,Other,NA,92,10659,20191203
2000,Tennessee,Loudon,47105,Al Gore,democrat,5905,16406,20191203
2000,Tennessee,Loudon,47105,George W. Bush,republican,10266,16406,20191203
2000,Tennessee,Loudon,47105,Ralph Nader,green,132,16406,20191203
2000,Tennessee,Loudon,47105,Other,NA,103,16406,20191203
2000,Tennessee,McMinn,47107,Al Gore,democrat,6142,16600,20191203
2000,Tennessee,McMinn,47107,George W. Bush,republican,10155,16600,20191203
2000,Tennessee,McMinn,47107,Ralph Nader,green,142,16600,20191203
2000,Tennessee,McMinn,47107,Other,NA,161,16600,20191203
2000,Tennessee,McNairy,47109,Al Gore,democrat,4003,8989,20191203
2000,Tennessee,McNairy,47109,George W. Bush,republican,4897,8989,20191203
2000,Tennessee,McNairy,47109,Ralph Nader,green,47,8989,20191203
2000,Tennessee,McNairy,47109,Other,NA,42,8989,20191203
2000,Tennessee,Macon,47111,Al Gore,democrat,3059,6491,20191203
2000,Tennessee,Macon,47111,George W. Bush,republican,3366,6491,20191203
2000,Tennessee,Macon,47111,Ralph Nader,green,30,6491,20191203
2000,Tennessee,Macon,47111,Other,NA,36,6491,20191203
2000,Tennessee,Madison,47113,Al Gore,democrat,15781,33930,20191203
2000,Tennessee,Madison,47113,George W. Bush,republican,17862,33930,20191203
2000,Tennessee,Madison,47113,Ralph Nader,green,173,33930,20191203
2000,Tennessee,Madison,47113,Other,NA,114,33930,20191203
2000,Tennessee,Marion,47115,Al Gore,democrat,5441,10250,20191203
2000,Tennessee,Marion,47115,George W. Bush,republican,4651,10250,20191203
2000,Tennessee,Marion,47115,Ralph Nader,green,74,10250,20191203
2000,Tennessee,Marion,47115,Other,NA,84,10250,20191203
2000,Tennessee,Marshall,47117,Al Gore,democrat,5107,9359,20191203
2000,Tennessee,Marshall,47117,George W. Bush,republican,4105,9359,20191203
2000,Tennessee,Marshall,47117,Ralph Nader,green,94,9359,20191203
2000,Tennessee,Marshall,47117,Other,NA,53,9359,20191203
2000,Tennessee,Maury,47119,Al Gore,democrat,11127,23400,20191203
2000,Tennessee,Maury,47119,George W. Bush,republican,11930,23400,20191203
2000,Tennessee,Maury,47119,Ralph Nader,green,207,23400,20191203
2000,Tennessee,Maury,47119,Other,NA,136,23400,20191203
2000,Tennessee,Meigs,47121,Al Gore,democrat,1555,3390,20191203
2000,Tennessee,Meigs,47121,George W. Bush,republican,1797,3390,20191203
2000,Tennessee,Meigs,47121,Ralph Nader,green,12,3390,20191203
2000,Tennessee,Meigs,47121,Other,NA,26,3390,20191203
2000,Tennessee,Monroe,47123,Al Gore,democrat,5327,13003,20191203
2000,Tennessee,Monroe,47123,George W. Bush,republican,7514,13003,20191203
2000,Tennessee,Monroe,47123,Ralph Nader,green,78,13003,20191203
2000,Tennessee,Monroe,47123,Other,NA,84,13003,20191203
2000,Tennessee,Montgomery,47125,Al Gore,democrat,18818,39044,20191203
2000,Tennessee,Montgomery,47125,George W. Bush,republican,19644,39044,20191203
2000,Tennessee,Montgomery,47125,Ralph Nader,green,359,39044,20191203
2000,Tennessee,Montgomery,47125,Other,NA,223,39044,20191203
2000,Tennessee,Moore,47127,Al Gore,democrat,1107,2301,20191203
2000,Tennessee,Moore,47127,George W. Bush,republican,1145,2301,20191203
2000,Tennessee,Moore,47127,Ralph Nader,green,27,2301,20191203
2000,Tennessee,Moore,47127,Other,NA,22,2301,20191203
2000,Tennessee,Morgan,47129,Al Gore,democrat,2921,6162,20191203
2000,Tennessee,Morgan,47129,George W. Bush,republican,3144,6162,20191203
2000,Tennessee,Morgan,47129,Ralph Nader,green,39,6162,20191203
2000,Tennessee,Morgan,47129,Other,NA,58,6162,20191203
2000,Tennessee,Obion,47131,Al Gore,democrat,6056,12440,20191203
2000,Tennessee,Obion,47131,George W. Bush,republican,6168,12440,20191203
2000,Tennessee,Obion,47131,Ralph Nader,green,99,12440,20191203
2000,Tennessee,Obion,47131,Other,NA,117,12440,20191203
2000,Tennessee,Overton,47133,Al Gore,democrat,4507,7496,20191203
2000,Tennessee,Overton,47133,George W. Bush,republican,2875,7496,20191203
2000,Tennessee,Overton,47133,Ralph Nader,green,46,7496,20191203
2000,Tennessee,Overton,47133,Other,NA,68,7496,20191203
2000,Tennessee,Perry,47135,Al Gore,democrat,1650,2866,20191203
2000,Tennessee,Perry,47135,George W. Bush,republican,1165,2866,20191203
2000,Tennessee,Perry,47135,Ralph Nader,green,28,2866,20191203
2000,Tennessee,Perry,47135,Other,NA,23,2866,20191203
2000,Tennessee,Pickett,47137,Al Gore,democrat,939,2239,20191203
2000,Tennessee,Pickett,47137,George W. Bush,republican,1281,2239,20191203
2000,Tennessee,Pickett,47137,Ralph Nader,green,12,2239,20191203
2000,Tennessee,Pickett,47137,Other,NA,7,2239,20191203
2000,Tennessee,Polk,47139,Al Gore,democrat,2574,5594,20191203
2000,Tennessee,Polk,47139,George W. Bush,republican,2907,5594,20191203
2000,Tennessee,Polk,47139,Ralph Nader,green,46,5594,20191203
2000,Tennessee,Polk,47139,Other,NA,67,5594,20191203
2000,Tennessee,Putnam,47141,Al Gore,democrat,10785,22438,20191203
2000,Tennessee,Putnam,47141,George W. Bush,republican,11248,22438,20191203
2000,Tennessee,Putnam,47141,Ralph Nader,green,228,22438,20191203
2000,Tennessee,Putnam,47141,Other,NA,177,22438,20191203
2000,Tennessee,Rhea,47143,Al Gore,democrat,3722,9772,20191203
2000,Tennessee,Rhea,47143,George W. Bush,republican,5900,9772,20191203
2000,Tennessee,Rhea,47143,Ralph Nader,green,74,9772,20191203
2000,Tennessee,Rhea,47143,Other,NA,76,9772,20191203
2000,Tennessee,Roane,47145,Al Gore,democrat,9575,21326,20191203
2000,Tennessee,Roane,47145,George W. Bush,republican,11345,21326,20191203
2000,Tennessee,Roane,47145,Ralph Nader,green,211,21326,20191203
2000,Tennessee,Roane,47145,Other,NA,195,21326,20191203
2000,Tennessee,Robertson,47147,Al Gore,democrat,10249,20164,20191203
2000,Tennessee,Robertson,47147,George W. Bush,republican,9675,20164,20191203
2000,Tennessee,Robertson,47147,Ralph Nader,green,148,20164,20191203
2000,Tennessee,Robertson,47147,Other,NA,92,20164,20191203
2000,Tennessee,Rutherford,47149,Al Gore,democrat,27360,62182,20191203
2000,Tennessee,Rutherford,47149,George W. Bush,republican,33445,62182,20191203
2000,Tennessee,Rutherford,47149,Ralph Nader,green,1024,62182,20191203
2000,Tennessee,Rutherford,47149,Other,NA,353,62182,20191203
2000,Tennessee,Scott,47151,Al Gore,democrat,2967,6615,20191203
2000,Tennessee,Scott,47151,George W. Bush,republican,3579,6615,20191203
2000,Tennessee,Scott,47151,Ralph Nader,green,31,6615,20191203
2000,Tennessee,Scott,47151,Other,NA,38,6615,20191203
2000,Tennessee,Sequatchie,47153,Al Gore,democrat,1648,3887,20191203
2000,Tennessee,Sequatchie,47153,George W. Bush,republican,2169,3887,20191203
2000,Tennessee,Sequatchie,47153,Ralph Nader,green,37,3887,20191203
2000,Tennessee,Sequatchie,47153,Other,NA,33,3887,20191203
2000,Tennessee,Sevier,47155,Al Gore,democrat,8208,25365,20191203
2000,Tennessee,Sevier,47155,George W. Bush,republican,16734,25365,20191203
2000,Tennessee,Sevier,47155,Ralph Nader,green,259,25365,20191203
2000,Tennessee,Sevier,47155,Other,NA,164,25365,20191203
2000,Tennessee,Shelby,47157,Al Gore,democrat,190404,336755,20191203
2000,Tennessee,Shelby,47157,George W. Bush,republican,141756,336755,20191203
2000,Tennessee,Shelby,47157,Ralph Nader,green,2860,336755,20191203
2000,Tennessee,Shelby,47157,Other,NA,1735,336755,20191203
2000,Tennessee,Smith,47159,Al Gore,democrat,4884,7348,20191203
2000,Tennessee,Smith,47159,George W. Bush,republican,2384,7348,20191203
2000,Tennessee,Smith,47159,Ralph Nader,green,42,7348,20191203
2000,Tennessee,Smith,47159,Other,NA,38,7348,20191203
2000,Tennessee,Stewart,47161,Al Gore,democrat,2870,4782,20191203
2000,Tennessee,Stewart,47161,George W. Bush,republican,1826,4782,20191203
2000,Tennessee,Stewart,47161,Ralph Nader,green,50,4782,20191203
2000,Tennessee,Stewart,47161,Other,NA,36,4782,20191203
2000,Tennessee,Sullivan,47163,Al Gore,democrat,21354,55727,20191203
2000,Tennessee,Sullivan,47163,George W. Bush,republican,33482,55727,20191203
2000,Tennessee,Sullivan,47163,Ralph Nader,green,520,55727,20191203
2000,Tennessee,Sullivan,47163,Other,NA,371,55727,20191203
2000,Tennessee,Sumner,47165,Al Gore,democrat,22118,50477,20191203
2000,Tennessee,Sumner,47165,George W. Bush,republican,27601,50477,20191203
2000,Tennessee,Sumner,47165,Ralph Nader,green,482,50477,20191203
2000,Tennessee,Sumner,47165,Other,NA,276,50477,20191203
2000,Tennessee,Tipton,47167,Al Gore,democrat,6300,16552,20191203
2000,Tennessee,Tipton,47167,George W. Bush,republican,10070,16552,20191203
2000,Tennessee,Tipton,47167,Ralph Nader,green,96,16552,20191203
2000,Tennessee,Tipton,47167,Other,NA,86,16552,20191203
2000,Tennessee,Trousdale,47169,Al Gore,democrat,1966,2945,20191203
2000,Tennessee,Trousdale,47169,George W. Bush,republican,950,2945,20191203
2000,Tennessee,Trousdale,47169,Ralph Nader,green,15,2945,20191203
2000,Tennessee,Trousdale,47169,Other,NA,14,2945,20191203
2000,Tennessee,Unicoi,47171,Al Gore,democrat,2566,6429,20191203
2000,Tennessee,Unicoi,47171,George W. Bush,republican,3780,6429,20191203
2000,Tennessee,Unicoi,47171,Ralph Nader,green,40,6429,20191203
2000,Tennessee,Unicoi,47171,Other,NA,43,6429,20191203
2000,Tennessee,Union,47173,Al Gore,democrat,2564,5821,20191203
2000,Tennessee,Union,47173,George W. Bush,republican,3199,5821,20191203
2000,Tennessee,Union,47173,Ralph Nader,green,30,5821,20191203
2000,Tennessee,Union,47173,Other,NA,28,5821,20191203
2000,Tennessee,Van Buren,47175,Al Gore,democrat,1255,2131,20191203
2000,Tennessee,Van Buren,47175,George W. Bush,republican,845,2131,20191203
2000,Tennessee,Van Buren,47175,Ralph Nader,green,8,2131,20191203
2000,Tennessee,Van Buren,47175,Other,NA,23,2131,20191203
2000,Tennessee,Warren,47177,Al Gore,democrat,7378,13131,20191203
2000,Tennessee,Warren,47177,George W. Bush,republican,5552,13131,20191203
2000,Tennessee,Warren,47177,Ralph Nader,green,105,13131,20191203
2000,Tennessee,Warren,47177,Other,NA,96,13131,20191203
2000,Tennessee,Washington,47179,Al Gore,democrat,14769,37942,20191203
2000,Tennessee,Washington,47179,George W. Bush,republican,22579,37942,20191203
2000,Tennessee,Washington,47179,Ralph Nader,green,375,37942,20191203
2000,Tennessee,Washington,47179,Other,NA,219,37942,20191203
2000,Tennessee,Wayne,47181,Al Gore,democrat,1859,5306,20191203
2000,Tennessee,Wayne,47181,George W. Bush,republican,3370,5306,20191203
2000,Tennessee,Wayne,47181,Ralph Nader,green,43,5306,20191203
2000,Tennessee,Wayne,47181,Other,NA,34,5306,20191203
2000,Tennessee,Weakley,47183,Al Gore,democrat,5570,11844,20191203
2000,Tennessee,Weakley,47183,George W. Bush,republican,6106,11844,20191203
2000,Tennessee,Weakley,47183,Ralph Nader,green,91,11844,20191203
2000,Tennessee,Weakley,47183,Other,NA,77,11844,20191203
2000,Tennessee,White,47185,Al Gore,democrat,4135,7775,20191203
2000,Tennessee,White,47185,George W. Bush,republican,3525,7775,20191203
2000,Tennessee,White,47185,Ralph Nader,green,58,7775,20191203
2000,Tennessee,White,47185,Other,NA,57,7775,20191203
2000,Tennessee,Williamson,47187,Al Gore,democrat,18745,58429,20191203
2000,Tennessee,Williamson,47187,George W. Bush,republican,38901,58429,20191203
2000,Tennessee,Williamson,47187,Ralph Nader,green,536,58429,20191203
2000,Tennessee,Williamson,47187,Other,NA,247,58429,20191203
2000,Tennessee,Wilson,47189,Al Gore,democrat,16561,35916,20191203
2000,Tennessee,Wilson,47189,George W. Bush,republican,18844,35916,20191203
2000,Tennessee,Wilson,47189,Ralph Nader,green,308,35916,20191203
2000,Tennessee,Wilson,47189,Other,NA,203,35916,20191203
2004,Tennessee,Anderson,47001,John Kerry,democrat,12896,31682,20191203
2004,Tennessee,Anderson,47001,George W. Bush,republican,18510,31682,20191203
2004,Tennessee,Anderson,47001,Other,NA,276,31682,20191203
2004,Tennessee,Bedford,47003,John Kerry,democrat,5261,13696,20191203
2004,Tennessee,Bedford,47003,George W. Bush,republican,8348,13696,20191203
2004,Tennessee,Bedford,47003,Other,NA,87,13696,20191203
2004,Tennessee,Benton,47005,John Kerry,democrat,3869,7090,20191203
2004,Tennessee,Benton,47005,George W. Bush,republican,3161,7090,20191203
2004,Tennessee,Benton,47005,Other,NA,60,7090,20191203
2004,Tennessee,Bledsoe,47007,John Kerry,democrat,1927,4800,20191203
2004,Tennessee,Bledsoe,47007,George W. Bush,republican,2849,4800,20191203
2004,Tennessee,Bledsoe,47007,Other,NA,24,4800,20191203
2004,Tennessee,Blount,47009,John Kerry,democrat,15042,48710,20191203
2004,Tennessee,Blount,47009,George W. Bush,republican,33240,48710,20191203
